,평점,리뷰
52,3,싸이즈 잘못왔는데 귀찮아서 그냥 신어요
53,5,강추! 최고에요!강추! 최고에요!강추! 최고에요!
54,4,기대했던거보다 훨씬 좋아요
55,5,괜찮습니다 좋습니다 또 주문합니다
56,5,"잘 받아 잘 사용하고 있습니다.
저렴하게 구입했지만...정말 맘에 듭니다.
감사합니다."
57,4,배송 빠르고 디자인 괜찮네요!
58,4,굿~~~~~
59,5,가성비 괜찮습니다 또 이용할 의사 있습니다
60,4,"좀 작게나왔나봐요
꽉 낀다는데 굳이 신겠다네요
한치수 큰걸로 사시길~이뻐요"
61,5,깔끔하고 너무 예뻐요 잘 신을께요
62,5,"한사이즈 크게 살려다 정사이즈 샀는데 딱 맞고 좋네요
싼값에 득템~!"
63,5,"남자친구 선물로 샀어요!!
너무너무 디자인이 깔끔하고 군더더기 없이 이뻐요
저도 커플로 구입하고 싶지만 커플템 그만하자고 저지당했어요ㅜㅜㅜㅜ 흰색검은색 고민하다 어두운색 운동화가 많이있어서
하얀색으로 선물했습니다!!"
64,4,쿠폰사용등 적당한 가격에잘산것같아요.
65,5,동생선물로보냈는데맘에들어해서좋습니다~
66,5,아주좋아오 그냥 나랑 안맞는다고 생각했는데 그게 너무 늦어요 그리고 내가 좋아하는
67,1,상품이다른게왓네요 전화도안되고어쩌자는건지?연락바로주세요
68,5,사이즈 잘 맞네요.
69,5,발등이 높은 편이라 살짝 끼긴하는데 사이즈도 정사이즈에 맞고 발볼도 괜찮습니다. 배송도 빠릅니다.
70,5,발등이 높은 편이라 살짝 끼긴하는데 사이즈도 정사이즈에 맞고 발볼도 괜찮습니다. 배송도 빠릅니다.
71,5,"잘받았습니다,  감사합니다."
72,5,실물그대로고 좋아요~~
73,5,"직구라 배송은 좀 느리지만, 저렴히 구매했네요^^"
74,1,"박스는 270 신발은 255 너무 황당하네요.
국제 배송 첨으로 구매해 봤는데 다 이런지?"
75,2,"기존에 제가 신고있던 에어맥스 싸이즈가 작아서 주문했는데...
신고있던제품에 비해 퀄리티가 떨어지는듯..."
76,5,가격대비 제품 만족합니다
77,5,"good,good,강추"
78,5,감사합니다 잘신을게요
79,5,정사이즈에 빠른배송 좋아요.
80,5,잘받아습니다 많이파세요
81,3,모조품에냄새가 풍기는데 정말병행수입인지 뭔지...박스뒤편에는 중국말로된스티커 붙어있구... 정품이랑직접비교하지 않는이상외관상으로는 잘구분이안되긴하네요
82,5,신발쿠션감도좋고 아주편하다고하네요깔끔하니이쁩니다내것도주문할려구요
83,4,추석 전이라 택배사 물량 증가로 하루 늦게 받았지만 상품은 괜찮네요~
84,5,이 신발 완전 싸고 좋아요 적극추천합니다~
85,5,이뻐용 두번사세용
86,5,사진보다 색감이나 디자인이 좋고 편하네요.
87,5,고마뭐요 잘신을께용
88,5,신발정말편하고좋네요.정품인거같아요
89,5,아주아주 좋습니다 ㅎㅎ
90,4,일단제대로확인은못한상태인데당연히정품을보냈겠죠?확인후이상있으면연락드리겠습니다.
91,5,"사이즈,착화감 좋고 제품좋아요. 잘산거같아요~~"
92,5,와~  배송 완전 빠르네요 다음날 바로 올지는 몰랐는데 ㅎㅎ 디자인도 맘에 들고 굿입니다.
93,4,굿
94,4,매장에서 본거랑 에어있는부분은 좀 틀리네요 ㅎ 암튼 매장은 더더더비쌌는데 걍 싼맛에 ㅋㅋ
95,5,배송 빠르고 좋아요
96,5,배송 빠르고 좋아요
97,5,신발 예쁩니다~~ 선물용으로 구매했는데 만족해요^^
98,4,저렴한 가격에 좋아요.
99,5,나이키잖아요!거기다 에어맥스 구요싸게샀어요배송 빠르네요정말 발이 편해요사진에는 카메라 조명덕에  나이키마크가반사돼서 하얗게 나왔는데 검정색이에요
100,5,품질 너무 좋습니다 가격도 너무 저렴하네요
101,5,신발 저렴하게 구매하였습니다 만족합니다
102,5,감사합니다:) 잘 신을게요 이틀만이 오네요 상태도 굿
103,4,사용하고 있던 신발이 있어서믿고 검은색으로 구매했는데.이번 리뷰는 노코멘트 하겠습니다
104,3,제품이야 뭐 어딜가든 똑같구요. 문제는 배송인데. 많이 오래걸리지는 않았지만 좀 걸리네요
105,5,많이괜찬ㄹ습니다 추천요
106,5,굉장한 퀄리티입니다. 발도 편하고 운동할때 딱 좋습니다.
107,1,측면 본드 자국 하고 구매후 2시간 신었는데 깔창은 너덜너덜해지구!! 이건 100프로 짝퉁이것 같네요 당장 반품 처리 요청해야겠네요~~ 2주걸려 받았는데 짜증 지대로네요
108,2,넘커요 교환비가비싸서 그냥다른사람줘야겠어요
109,5,"감사합니다.. 잘 받았고요, 잘 신도록 하겠습니다.."
110,3,싼맛에 신겠습니다~정품과 디자인이나 재질이 다른데 판매자는 정품이라고 하니 ~^^ 차라리 퀄 좋은 레플이라고 하시지ㅋㅋㅋ암튼 나이키 온라인 구매 첨 해봤는데 깨닫는게 많네요
111,5,"빠른배송과 ,착한가격, 이쁜 디자인 등 전체적으로 매우 만족입니다."
112,5,"빠른배송, 착한가격, 디자인 등 전체적으로 매우 만족입니다."
113,5,해외배송인데도 너무 빨리 배송되었네요.
114,5,색상 품질 모든것이 마음에 들어요 그런데 한국 사이즈보다 조금 큰거같아요 다른건 나무곳이 없어요
115,4,"통풍좋아요,겉감이 울어요,에어부분은 튼튼한것같아요"
116,3,배송은 해외배송치고는 빨리 왔구요 ~ 상품은 다 좋은데 역시 저렴해서 그런건지 에어부분이 불투명에 가깝네요 ㅠㅠ그 부분 빼고는 발도 편하고 만족합니다만 불투명은 쫌 충격이네요 ~
117,4,좋아요 사은품양말도 좋구요
118,5,"가격에끌려구매하려면서도가격때문에품질많이고민했는데기우였네요배송,색상,퀄리티다굿입니다"
119,3,해외배송인데 빨리왔어요가격은 저렴한데 퀄리티가 별로...짝퉁티가  나네요
120,3,딱 가격만큼의 퀄리티네요
121,4,잘받아보았서요.제품가성비가？I찬아요..
122,5,기다리는 재미  빼고 다 만족
123,5,3월20일 주문하고 29일받았습니다 편해서 두번째입니다
124,5,일단 배송 한번 총알 이네요 주문 20일날 해서 오늘 29일날 받았네요 9일만에 오구요! 제조국이 베트남 이라고해서  주문했는데 받아보니 차이나 중국 이네요! 암튼 나이키 괜찮아요
125,5,가격대비 만족해요270사이즈 신는데새신발이어서 그런지 약간 꽉 찬느낌검은색 살걸 약간 후회전체적으로 푸른빛깔그래도 가격에 만족
126,5,정사이즈 만족배송이야 해외니까 느린게당연많이파세요
127,5,배송이 조금느리편빼고 전부 대만족입니다사이즈는 정사이즈 하심 될듯^^
128,2,110%정품 아닐시 반품보장? 아무리 눈&amp;#49904;고 찾아봐도 어디하나 정품이라는 곳을 찾을수 없네요 뒤축틀리고 본드칠 다삐져나오고 딱딱하고 신발상자는 뭐 말할것도 없네요... 도착하자마자 살펴보고 신어보고 버릴까 생각중.... 분명히 통에서인데 착감은 그냥 실내와신은듯한 느낌? 개인적인 차는 있겠지만 전 별로네요.
129,4,사이즈 딱 맞구 이쁘네요 상태 좋아요배송은 해외배송이라구매하고 11일정도 소요됩니다.
130,5,너무좋아요 잘신을게요오우 너무좋아요굿굿
131,4,해외에서 오는 거라  시간이 좀 걸려는데 신발이예쁘고 잘 왔네요.양말도 한 컬레 보내주셨네요
132,5,배송도 빠르고 제품도 좋아요^^재구매하고싶어요^^
133,5,아들것 먼저 구매했는데 내 신발이 먼저 도착했습니다 사은품 양말까지 맘에 듭니다
134,5,배송빨랏어요 잘신을께요!!
135,5,와~~ 저 진짜 신발에 민감한 사람이거든요 너무싸서 먼가있겠지 했는데 진짜 흠잡을께 없어요 심지어 신반끈도 정갈하게 잘 맞춰 매어주셨네요 인정합니다 재구매 의사를 끌어올리네요 많이파세요하고 적어드려야하는데 많이알면 품절대란올까봐 적당히 파세요하고 적어드릴께요 수고하세요^^
136,5,"배송은 일주일 걸렸지만, 상품은 마음에 듭니다. 저렴하게 가성비 좋은 제품 구매해서 만족합니다. 2월 27일에 주문해서 3월 7일에 국제EMS로 수령했는데요. 운송장번호가 색다르게 되어 있고, 배송조회도 안되서 조금 걱정은 했었는데요, 기다리다보니 국제우편으로 오더라구요. 착용감도 좋고, 사이즈도 정사이즈라 만족합니다. 추가로 구매할 예정입니다. 적극 추천합니다."
137,5,좋은 신발 싸게 잘 샀어요
138,4,상품평보니 배송이 많이 늦다고 말들이 많은데 3일만에 택배수령 빠른배송 감사합니다
139,5,너무 좋은 제품입니다 가성비 최고의 고퀄러티 제품입니다 정말 짱입니다
140,4,제품구매 2월26일 주문해서 3월 7일 도착했어요.배송은 느린편이에요.배송추적도 안됩니다.하지만 제품은 아주 마음에 들어요.가격도 착해요.10일정도 걸리니 마음에준비하고 주문하시면좋을거같아요.또구매하고싶네요.
141,5,배송이 느리다고 해서 걱정했는데 배송이 무척 빨라서 깜짝 놀랬습니다~신발도 마감이 깔끔하니 좋네요~
142,3,배송시간 빼고는 전체적으로 만족합니다..
143,5,좋아요 만족 합니다 가격대비 최고에요무슨말을 길게하래 좋으면 그만이지
144,5,"배송빠르고 좋아요 성닌데 바로왓어요
신발은 이뻐요 편하고 사이즈 한사이즈크게 사는게좋아요"
145,3,신발이  이쁘네요 다른데보다 배송도 조금더빨라서 좋구요 감사합니다 잘신을께요
146,4,배송빠릅니다~사이즈는 정사이즈네요.착용감 마감처리 좋네요^^
147,5,신발너무좋네요정사이즈고요퀄리티좋습니다
148,4,배송은 해외배송이라 열흘정도 걸리네요. 신발디자인 괜찮은것 같네요. 맘에들어요 잘 산것 같아요~
149,3,"저렴한 가격에 샀다는 만족감과 빠른 배송에 대한 만족감...!!! 병행수입(?)이라 텍이 없고요, 어떤분이 상품평이 남겨주셨듯이, 에어부분이 매장신발과는 달리 시컴하긴 하나... 싼 맛에... 잘 신고 다닐럽니다. 흰색 구매 고민되어지네요..."
150,4,마감도 갠찮긴 하지만 에어부분이라던지 찐 여부는 확신이 안서네요.가격대비 출퇴근용으로 신어봄
151,4,화이트는 괜찮은 듯..매장가 21만원인데 가격대비 신어볼만 할 듯
152,4,"배송은 진짜 엄청 빠름..일케 빠른 배송은 처음임 ㄷㄷ 사이즈는 정사이즈에요 마감은 제가 봤을때는 무난합니다. 가격대비로는 좋다고 할수 있겠네요. Q&amp;amp;A 답변은 정품이라는데, 정품같지는 않아요. 그래도 가격을 보면 구매해도 좋을듯하네요. 추천해요"
153,4,우려와 다르게 착화감도 좋고 만족합니다.단지 배송이 쬐금^^ 느린거 빼고는 좋아요.와이프 꺼 추가 구매 예정입니다.
154,5,처응 구매해봤는데 편하네요그럼 된거죠 ㅎㅎ
155,5,생각한그대로 짱이야 진짜
156,5,가성비 최고! 다른색으로 또 구매할거예요!
157,5,배송도 빠르고 최고예여...나이키 에어맥스 기존에 신고있는 제품이었는데 발이 편하고 깔끔해서 다시 구매하게 되었는데 역시 만족 합니다~~~
158,4,배송이좀느릴줄알았는데생각보단빨리왔네요.마감도깔끔하고좋아요
159,5,상품이 맘에들어여~~가격은그닥
160,5,좋네요 깔끔하고 받는사람도 마음에들어해요 정사이즈같고발볼크신분은 한치수크게사는게좋을듯함  잘샀어요 제껏도구입하고싶네요~~~배송빨라요
161,5,신랑이구매햇는데 어제신고나갔는데 너무너무 편하다고하네요^^저보고도사라고하네여ㅋㅋㅋ디자인도이뿌고 발도편하고 모두다만족입니당.
162,5,며칠  신어보니  발도편하고 예쁘고  배송도빨라 좋습니다.  레드로  하나 더 사려고  하는데 265사이즈 품절이라 재입고  기다리고있어요.
163,5,저번 주문 운동화는 반듯하니 흡족했는데~ 이번꺼는 오른쪽이 비틀려서 쭈글쭈글하네요 ㅠ  복불복인지..
164,4,사이즈만 5올리세요 다른건 대만족이에요
165,5,최근에 산 신발중에서 &amp;#52573;오 깔끔하고 마감도 좋고 다 좋네요 강추입니다.
166,4,2컬레 구매 했는데... 일단 배송이 빠릅니다 걱정 했는데... 정품 맞는것 같아요 신발 제조 공장은  보통  중국 /  베트남.... 인것 같네요....
167,5,배송빠르고 이뻐요. 만족합니다
168,4,배송도빠르고 상품도 좋네요~
169,5,해외배송치고는 빠른편이었습니다 근데 미리 해외배송이라고 안내 좀 해주시지...상품은 대만족입니다
170,5,어디서 샀냐는 질문을  여러번 받고있습니다.잘쓸께요.
171,1,혹시나가 역시나입니다!! 신발은 역시 매장에서 직접보고 사는걸로합시다!!싼게비지떡입니다!! 물품개봉하자마자!!헐~~짝퉁냄새가 너무납니다!!작업신발로 그냥대충신으신다면~~그래도 비추니다!!배송은 무지빠르네요
172,4,우선 짝퉁인지 구별 못하겠다매장에서 샀는거나 이거나 구별안된다매장219000원 주고샀다근데 이건 반값메이드인 베트남이다쿠션 부드럽다 터지지않을까? 걱정해본다배송엄청 빠르다해외직구랑 비교했을때 1만원 차이난다만원 더주고 빨리받는게 정신건강에 도움된다
173,5,이름값을합니다.좋아요.
174,5,만족스럽네요 잘 신을께요
175,4,괜찮네요 잘싣을께요가격대비 만족합니다
176,5,생각했던거 보다 훨씬 좋음.................
177,5,아주 편하고 좋습니다 잘 신고 있습니다!
178,2,음.....  이가격에 정품이라고 믿는 분은 없으시라 믿고요~~ 상품을 받아보니 웃음이 먼저나오더라구요~~ 백화점에서 산거랑 비교해보니  넘~~~~차이가 나네요~~ 마감처리도  짝퉁이라고 알면서 사도 이건 아닌듯 싶어요~~ 참고 하셔서 구매하세요~~박스도 웃겨요~^^
179,3,제봉 마감 상태가 그냥 그러네요
180,4,정사이즈로 좋아요니니니ㅣ니니니ㅣ니니니ㅣ니니
181,5,앞으로 운동화 구매는 여기서만 할거에요ㅎㅎㅎ너무 만족합니다!
182,5,"여러 리뷰 보며 걱정반 기대반 구매했는데솔직히 퀄 끝내줍니다포장, 배송, 상품, 사이즈 모두 최고입니다!!와이프랑 외출시 신으려고 커플로 구입 하게 되었는데후회 1도 없네요 귀찮아서 구매확정만 하고 리뷰 잘 안쓰는데 물건 너무 좋아이렇게 리뷰 남깁니다판매자님 번창하시고 재구매 의지가 불타네요"
183,4,다 괜찮았는데 좀 미끄러워요
184,4,가성비는 좋네요내구성이 얼마나 좋을지는 모르겠지만 마감이나 재질은 만족스럽네요다만 사이즈는 좀 작게 나온거같아요
185,4,생각했던 거 보다 좋아요. 잘 신을듯
186,5,가볍고 편하네요 디자인은 크게 신경 안쓰지만대체적으로 만족 합니다
187,5,매장에서 판매하는 가격이 너무 비싸서 여러 사이트를 둘러보다가  우연히 이사트를 보게 되어서 구매했습니다.  꼭 사고 싶다면 그냥 이것저것 생각하지 말고 그냥 여기서 주문하세요.  전 100% 만족합니다.
188,5,좋아요! 재구매 생각있습니다!수고하세요
189,1,같은 사이즈 2개신발을 주문했지만크기가 다릅니다. 착용시 틀어진 느낌? 이건 진품아니네요.사진올려드릴께요
190,4,사이즈가 크게 나왔어요 구매할실때 정사이즈에서 한사이즈 작게 사는게 좋을 듯 합니다.
191,5,운동할때 신으려고 샀어요운동하는분거 신어보고 산건데 안쪽 발바닥 잡아주는 부분이 좀 다른것같아요오목하게 발바닥 잡아주는게마감이랑 괜찮은데 조금 실밥이 나온것도 있어요발볼있는분은 한치수 크게 사야할것같아요두꺼운양말신으니 딱 맞네요
192,5,가격대비 대만족 제품받고 확인하는데 그냥 확인해서는 일반사람들 대다수 짝퉁 진품 구별 힘들것같아요? 진품은 아니구요진품대비 90%이상 디테일 입니다  신경쓰고 확인하지 않는 이상차이구별 힘들구요 제가 받은 상품기준으로마무리 깔끔하고 진품 가격대비 가성비 갑입니다 최고
193,5,배송도빠르고 제품도 너무 맘어들어요ㅎㅎ
194,5,다좋은데  포장 상태가 엉망이네요 다터져서 왔어요!포장에 신경을 쓰던지 택배사 바꾸세요!발볼 넓으신분이나 발등 높으신분은  한치수크게 하세요!에어멕스라 쫌높네요ㅠ.ㅠ 신발은 예쁜니다!
195,5,베송 진짜 빠릅니다~!!제품도 완전 맘에듭니다~!!
196,4,생각했던많큼 좋은상품은 아닌듯왠지 나이키 짜퉁 느낌인데....신발이 어설프네요@@제 느낌은 그렇네요반품할려다가 그냥 싣기로 했음시중가니 이거보다 좋은거 많네요ㅜㅜ맘이 좀.......@@
197,5,가격대비 대만족 !! 제품받고 확인하는데 그냥 확인해서는 일반사람들 대다수 짝퉁 진품 구별 힘들것같아요? 진품대비 90%이상 디테일 입니다 마무리 깔끔하고 진품 가격대비 가성비 갑입니다 최고
198,5,사진하고 같아요 신어볼때는 평소신던 사이즈와 같다고 생각했는데 전에신발과 대보니 한치수 큰 듯. 할인쿠폰에 티멤버십까지해서 저렴하게 구매해서 맘에 들어요 정품인지 구별할줄은 몰라요 ㅎㅎ
199,5,뭐 진품 가품을 논하진않겠습니다.굳이 따진다해도 논할거리가없을듯하네요.매우만족스럽고 배송엄청빠르네요!재구매의사있습니다. 번창하시길!!
200,5,배송 빠르고요 상품도 매우 꼼꼼하구요. 뭐니뭐니해도 가격에 한번 더 감동합니다.저도 한컬레 신어보고 마음에 쏙들어 와이프 것도 주문했는데 마음에 쏙들어하네요 사업 번창하세요....
201,2,역시나 정품이 아니네요. 그래도 싸서 신을랍니다.
202,5,만족합니다만족합니다만족합니다만족합니다만족합니다
203,4,배송은 하루만에 굳^^마감은 좀 엉성해보이고 에어쪽에 기스도 보이고 좀 난해한데 싼게 비지떡이라고 신으려구요.사이즈는 260mm인데 한치수 올려 신었습니다.
204,5,상품에대한 만족도는 좋습니다. 다만 배송이 너~~무 오래걸립니다. 알리 처럼 주문하고 잊고 있스면 언젠가 도착합니다~
205,5,저령하게사서 좋네요 맘에들어요
206,5,가격대비 대만족 !! 제품받고 확인하는데 그냥 확인해서는 일반사람들 대다수 짝퉁 진품 구별 힘들것같아요? 진품이면 직수입일것같고 짝퉁이면 거의 90%이상 디테일 입니다 그만큼 구별 찾기 힘드네요 마무리 깔끔하고 전에 타종류 정품 맥스랑 구별하기가 어렵네요? 진품은 20만원이상인데 10만원이하가격이면 가격대비 가격대비 가성비 갑입니다? 최고
207,5,1월11일주문 다음날 수령배송 하루 걸렸구요정사이즈 입니다.흠잡을데 없이 깔끔합니다.다음에도 재구매 확실~^^
208,4,런닝화라서 그런지 겨울에 신기에는 추울거같군요. 깔창이 조금 허접합니다. 너무 흐물거려서 쉽게 빠져버리네요. ㅠ
209,4,제품보고 괜찮아서 놀랐네요 좋습니다
210,5,저령하게사서 좋네요 맘에들어요
211,5,생각했던것보다 배송도 빠르고 마음에 들어요~~ 많이 파세요~
212,5,상품이 매우 마음에 들며 배송도 매우 빠르구요 가격도 매우 저렴해서 와이프것도 하나 더 구매합니다.
213,3,올블랙인데 신발끈 시작되는 부분 좌우로 흰줄이 있습니다.에어부분이 까맣게 된거 보니 정품이 아닌가.. 싶은 생각이 드네요. 왜냐면 같은 모델을 신은 사람이 같은 사무실에 2명 있거든요. 정품은 에어부분이 어둡긴해도 에어가 분명히 보입니다. 하지만 제가 구매한 상품은 에어가 전혀 보이지않게 까맣게 되어있어요. 싼 가격에 산 건 제가 선택한 거니ㅠㅠ 어쩔수없네요. 구매하실 분들은 참고하세요.
214,4,이쁘고 사이즈도 정사이즈이고 암튼 맘에 들어요밑창이 좀 미끄러운거빼면 좋습니당
215,4,디자인 사이즈 맘에들어요
216,4,검점이사고싶었는데  무난합니다
217,5,"만족하는 구매였습니다. 배송도 우려와  달리 토,일휴일을  포함했는데  6일 걸렸습니다. 제품도 사진과 마찬가지로 품질 좋구요.  무척 맘에 듭니다."
218,5,마감도 깔끔하고 좋네요 싸이즈도 딱맞구 감사합니다
219,5,신발 싸게 잘 구입했어요한사이즈 크게 삿는데 잘 맞기 기대하면서
220,5,사진 그대로네요넘 편하고 디자인 색깔 넘 고급지고 예뻐요온가족이 다 샀어요주위에서도 보고 넘 예쁘다고 주문해달라고 하네요~^^
221,3,가품만 아니면 가격대비 좋은뎅~찝찝함은 어쩔수 없네요
222,5,초5때 이걸루235초6올라가서 이걸루245매년 10mm씩 크게 사고있어요아이가 같은 디자인을 원해서 구매했어요좋아요
223,5,완전 마음에 듭니다 제가 볼땐 정품 맞고요다들 배송 오래걸린다고 하셨는데  전 주말포함  일주일 걸린것 같네요사이즈도 정사이즈이고 마감도 아주 좋네요 흰색 추가.구매하려구요
224,5,가성비 최고예요!!!조아요
225,4,아들의 전역 기념으로 하나 구입 했는데 좋아 합니다. 또한 착용감이 좋다고 합니다.
226,4,우선 깔끔하고 발이 편안해서 좋습니다다른디자인 나이키운둥화  3컬레 현재 주문한상태입니다 좋아요
227,4,신발은 좋은데발에 살이 찐건지...신다보면 늘어나겠져...
228,4,디자인이 맘에 들어 구매했는데 신발은 정말 좋아요 근데 배송이 어찌나 느리든지 . . 살짝 실망ㅠㅠ ㄱ그래도 맘에 든 걸 구매해서 참 좋아요
229,5,"가볍고, 편하고, 괜찮은데...가품 같은 느낌이 많이 드네요."
230,5,배송도 빠르고 제품도 좋아요추천합니다
231,4,배송 빠르구요. 인터넷에서 신발은 첫구매라 걱정아닌 걱정을 했었는데 별 하자 없는거 같아요. 사이즈는 정사이즈네요. 진품인지 아닌지 모르겠지만 잘 산것 같아요 에어쪽이 투명이 아니네요 참고하세요
232,4,배송 추적 안되다가 어느날 도착해요배속 추적 안되서 조급하다가도 오늘 도착할지도 몰라요. 저는 18일 걸렸어요
233,4,만족합니다. 아이가 좋아합니다
234,5,배송도 빠르고 마감도 좋네요 마니파세요~
235,5,아주 맘에듭니다^^가성비는 최고인듯 하군요.쿠션감이 2프로 부족한 느낌은 약간 아쉽습니다
236,5,리뷰보고 많이 망설였는데 신발 너무 맘에 드네요.배송도 휴일에 주문했는데 이틀 뒤 도착했네요.주로 운동화 맥스 많이 신는데 집에 있는거랑 사이즈 대보니까 동일하고요.많이 망설였습니다. 괜히 돈만 버릴까봐...에어가 투명해야 하는데 까맣다는 리뷰도 있고...에어 투명합니다. 그냥 보믄 불투명해 보이지만...매장에선 이미 품절되서 사고싶어도 못사는데 절반값도 안하는 가격에 너무 만족합니다정품 여부는 모르겠습니다 가격이 싼거 빼고는 정품이 아닌 이유는 찾지 못하겠습니다.괜히 망설였네요. 진작에 살껄
237,4,정품이랑 비슷하네요  해외 이월된상품인듯 상품만족합니다 단지 사이즈는 5미리업하세요
238,4,만족합니다 감사합니다
239,5,한쪽 발등이 타이트한느낌은 있지만 신으면서 좀 나아졌습니다.
240,3,많이파세요~ 가성비좋은제품입니다! 자주이용할듯요~
241,5,일단 발은 편해요 내구도는 조금 착용해봐야 알꺼 같구요  현재는 만족합니다
242,5,어머니 선물용으로 구매 했는데 마음에 들어 하시고 외관상 하자도 없고 배송도 빨라서 정말 잘 샀다는 생각 들었습니다! 많이 파시고 앞으로 신발 구매 할 때 여기서 재구매 해야 겠어요! ㅎㅎ
243,5,정품 싸게 잘샀네요. 가격대비 대 만족~~
244,3,저렴한가격에 잘 구입했습니다배송도빨랐고 잘 신고모임갔습니다
245,5,남편 출퇴근시 면바지에도 잘어울리고 예뻐요 잘산것같아요 배송도빠르고 좋았습니다 만족해여^^
246,5,"일단 배송 빠르고, 마감 깔끔하고, 사이즈도 정사이즈네요, 가성비 아주 좋습니다."
247,5,저렴한가격에 신기에는 좋아요 본인만족에는 충분하네요 잘신을께요
248,4,종아요 감사합니다    좋아요 감사합니다  좋아요^^
