,리뷰,평점
493,짝퉁인듯 정품인듯 짝퉁같은 신발,1
520,솔직히 좋아하는 디자인라서 좋긴 한데 왼쪽 신발이 오른쪽 과 달라요끝마무리가 좋질 않네요그리고 폭도 좀 다른것 같아요,3
526,이 제품을 구매하신 대다수의 분들이 진퉁이냐 짭퉁이냐 대체 언제쯤 오냐를 두고 걱정을 많이 하신거 같아서 제가 상세하게 알려드려보고자 합니다 우선 저는 12월 5일 저녁즈음에 구매를 하였고 배송시작은 6일 이루어졌고 딱 일주일만인 오늘 오전4012일41에 받았습니다 저또한 큐앤에이를 보면서 불안하기도 했고 정가가 219000원인점을 봤을때 과연 진짜 정품인가를 두고 유튜브나 블로그 검색을 통해서 이것저것 비교하면서 꼼꼼하게 알아본 결과는잘모르겠다 입니다 우선 사진을 보시면 아시겠지만 마감처리가 굉장히 우수합니다 진짜 일반인은 이게 정품인지 가품인지 비교를 못할정도 입니다 무슨말이냐면 가품과 정품을 비교한 글이나 영상에 나왔던 정품의 특성들 모두가 이 제품에 적용되어 있었거든요 나이키 로고 박음질 두깨 택 등등 그냥 정품이라고 봐도 무방한데 아니 그래서 사실 정품이 맞는거 같다 생각되면서도 두번째 사진에 보시면 뒷면 엠자탈모 부분이라고 해야할까요 오른쪽 신발이 약간 삐뚫어져 있습니다 이 부분에서 다시 의심 스멜이 올라오더라구요 자 이제 결론입니다 일단 저는 이 제품을 정품이라 생각하고 신으려고 합니다 사실 에어맥스라는 시리즈 자체가 이뻐서 인기가 많지만 에어때문에 착화감이 좋아서 신는 경우도 많거든요 만약에 이게 짝퉁이라면 신은지 얼마 안돼서 에어가 터진다던지 아니면 착화감이 좋지 않거나 불편할겁니다 에어팟과 겉모습이 똑같이 생긴 중국 짝퉁은 많지만 무선 음질과 페어링 배터리 호환성은 절대 따라갈수 없듯이 신발 본래의 기능인 발을 잘 감싸주고 편안하게 해주느냐가 가장 중요한 문제라고 생각합니다 짝퉁은 모습은 흉내낼 수 있어도 나이키가 걸어온 길을 흉내내진 못할거에요 뭔가 수박 겉핥기식 리뷰인거 같아 마음이 찜찜합니다 신어보고 문제점을 나타나면 다시 찾아오겠습니다 그럴 일 없었으면 좋겠네요,3
527,주문날짜 11월 12일 왜안오냐는 질문에 대한통운 파업을 얘기했지만 받고보니 홍콩에서 택배보낸게 한참뒤인 11월 29일 내 살면서 이렇게 오랜만에 택배받는건 첨인데 진짜 판매자가 사람을 화나게 잘하는거 같나 그나마 그냥 질문에 몇번 글쓰고 말았지만 내가 성격이지랄같았으면 전화하고 진상을 떨었을거 같음  결과적으로 한달만에 받았는데 그나마 물건이 하자가 없어서 내가 별하나라도 남기는 바입니다,1
528,오늘 드디어 받았어요배송 느리고 느린건 해외배송이라 그렇다치는데 판매자 피드백 주는게 진짜 최악입니다 묻는말 다무시하고 택배 파업드립 무한반복 ㅋㅋ진짜 열받아 죽을뻔했는데 다행히 왔어요 운동화는 정품은 아닌거 같지만 그냥저냥 괜찮음 근데 진짜 판매자님이 정말 최악이였음,1
530,주문날짜 11월 12일왜안오냐는 질문에 대한통운 파업을 얘기했지만 받고보니홍콩에서 택배보낸게 한참뒤인 11월 29일내 살면서 이렇게 오랜만에 택배받는건 첨인데 진짜 판매자가 사람을 화나게 잘하는거 같나그나마 그냥 질문에 몇번 글쓰고 말았지만 내가 성격이지랄같았으면 전화하고 진상을 떨었을거 같음결과적으로 한달만에 받았는데 그나마 물건이 하자가 없어서 내가 별하나라도 남기는 바입니다,1
531,26일인지 25일인지 만에 왔네요 네참을성 많으신 분 구매하세요,1
550,주문후 18일만에 받았습니다  제품은 정사이즈 입니다 좀 불편함  동생 조야 겠내요 완전 비추 입니다,1
554,주문한지 한달가까이되도록 받아보지 못함,1
568,배송이 많이 느리니 참고하여 구입하시기 바랍니당   판매자님 보내주시느라 고생하셨습니다    많이파세요,3
591,가격은 저렴한데 짝퉁 느낌이 많이 드네요밑창부분과 갑피부분이 허접해요귀찮고 해서 그냥 신어요중국에서 오는게 대부분 이렇네요,3
600,어머니 드리려고 샀는데일단 짝퉁티가 많이 납니다뒷쪽에 완전 어이없이 되어있더군요어머니 보시더니 엄마 나이도 있는데 왠짝퉁을 시켰냐고나이든분이 보셔도 짝투임을 대번에 알아볼정도입니다11번가 짝퉁 안파는지 알았는데 정말 실마입니다,1
601,아들이 안신는다고 해서 내버려두고있어요,3
602,어느정도 예상은했지만 정품은 아닌가 같네요,3
615,어머니 드리려고 샀는데 일단 짝퉁티가 많이 납니다 뒷쪽에 완전 어이없이 되어있더군요 어머니 보시더니 엄마 나이도 있는데 왠짝퉁을 시켰냐고 나이든분이 보셔도 짝투임을 대번에 알아볼정도입니다 11번가 짝퉁 안파는지 알았는데 정말 실망입니다,1
645,배송은 9일 걸렸고 제품은 괜찮은거 같은데 정품인지 아닌지 조금 의심은 되네요 ㅎㅎ 많이파세요,3
648,상태보세요귀찮아서 신고 다닐거지만 이정도 품질일거면 67만원 짜리 사서 신고말지 가격좀 나가고 현대hmall쪽 물품이라 믿었는데 실망스러움가품이거나 불량이겠죠,1
804,10만원 밑으로는 짝퉁임발볼이 작음이제품은 정품 맞음,3
805,에어부분이 튼튼하게는안보이지만 신으면 편하네요,3
944,어제 오후에신청해서 오늘 오후에 받았어요 배송은 정말 빨라요 그러나 왼쪽신발의 끈 구멍 두개가 불량이고 마감이 잘 안된듯 해요ㅡㅡ 교환하기 귀찮아서 그냥 신고 초저녁에 신고 가벼운 조깅을 했는데 발은 편하고 좋아요 진품이든 가품이든 배송전에 물품의 상태를 잘 확인하면 좋을 듯,3
973,발볼이 넓으신 분은 신중히 매장에서  신어보고  살것을 권유함 치수는 한치수 적게 나온것 같아  신어보고 사세요,3
982,신발은 역시 나이키입니다 가볍고 착용감 좋고 굿입니다 배송도 빨라서 정말 마음에 듭니다,1
983,받았는데 가격에 비해 싼티가 나는 걸 까요 사은품이 들어 있는 건가요 차량방향제인가 재질도 그냥 그렇네요,3
991,신발바닥접착한부위가조잡함신발치수가한치수큼,3
1013,이 업체에서 절대 사지마세요사기예요 진짜 황당 그자체네요11번가를 통해 당일배송이라고 해서 5월 부모님 선물드리려고 2개를 주문했습니다주문하고나서 알고보니 해외배송이었습니다주문일이 5월12일인데 배송추적도 불가한상태로 물건을 기다리다 기다리다 도착한건 5월27일 3주걸려 2개중 1개만 오고 심지어 배송된 신발은 신지도 못할 다른사이즈가 왔습니다 나머지 하나는 아직도 배송중이라는처음에 주문하고나서 해외배송이라는 사실에 황당했지만 취소할까하다가 곧 오겠지하고 기다리기로 했습니다 여기까지는 해외배송이라 생각하니 저도 이해했습니다배송을 기다리는사이 더 기가막힌건 저보다 늦게 주문하신분이 리뷰에 저보다 더 빨리 신발받으셨더군요 여기까지는 저도 그럴수있다고 좋게생각했죠그런데 기다려서 받은 신발이제가 어머니 선물드리려고 230사이즈를 주문했는데 그렇게 인내심으로 오래기다려서 받은 신발 사이즈가 240 진짜 화가났죠 그래서 업체연락해서 배송문의와 반품처리 요청했더니 죄송하단 말도 없이 대신 기사님이 직접 수거하실거라고 하고 자기는 반품만 받는다고 배송은 모른다고 전화를 끊으셨어요 그런데 23일이 지나도록 기사님이 안오시는거예요 다시 업체전화했죠 이때부터 전화도 안받으시고 연결이 안됩니다반품도 안되고 취소도 안됩니다지금 이 글을 쓰고 있는 제 옆에 잘못 온 신발은 그대로 놓여있고 나머지 하나는 아직도 배송중 진짜 물건 못받은 상태입니다이런식으로 아직까지 영업하는곳이 있네요 그리고 못받은 신발은 오더한 다음날 사이즈 260에서 255로 교환신청했는데 제대로 접수는 됐는지도 확인할길이 없네요이 업체 절대 이용하지마세요저같은 분 있으심 댓글 남겨주세요전 제 돈을 돌려받거나 물건으로 제대로 받을때까지 항의하려고합니다 이 업체 고발할겁니다관계자분 이 글 보시는대로 연락주세요,1
1014,이 업체에서 절대 사지마세요 사기예요 진짜 황당 그자체네요  11번가를 통해 당일배송이라고 해서 2개를 주문했습니다 주문하고나서 알고보니 해외배송이었습니다 주문일이 5월12일인데 배송추적도 불가한상태로 물건을 기다리다 기다리다 도착한건 5월27일 3주걸려 2개중 1개만 오고 심지어 배송된 신발은 신지도 못할 다른사이즈가 왔고 나머지 하나는 아직도 배송중이라는  처음에 주문하고나서 해외배송이라는 사실에 황당했지만 취소할까하다가 곧 오겠지하고 기다리기로 했습니다 여기까지는 해외배송이라 생각하니 저도 이해했습니다 배송을 기다리는사이 더 기가막힌건 저보다 늦게 주문하신분이 리뷰에 저보다 더 빨리 신발받으셨더군요 여기까지는 저도 좋게생각했죠 그런데 기다려서 받은 신발이제가 어머니 선물해드리려고 230사이즈를 주문했는데 그렇게 인내심으로 오래기다려서 받은 신발 사이즈가 240 진짜 화가났죠 그래서 업체연락해서 배송문의와 반품처리 요청했더니 죄송하단 말도 없이 대신 기사님이 직접 수거하실거라고 하고 자기는 반품만 받는다고 배송은 모른다고 전화를 끊으셨어요 그런데 23일이 지나도록 기사님이 안오시는거예요 다시 업체전화했죠 이때부터 전화도 안받으시고 연결이 안됩니다 반품도 안되고 취소도 안됩니다  지금 이 글을 쓰고 있는 제 옆에 잘못 온 신발은 그대로 놓여있고 나머지하나는 아직도 배송중 물건 못받은 상태입니다 이런식으로 아직까지 영업하는곳이 있네요  업체 절대 이용하지마세요 저같은 분 있으심 꼭 댓글 남겨주세요  전 사과도 받고 저의 피같은 돈을 돌려받거나 물건으로 제대로 받을때까지 항의하려고합니다 차라리 기부를 하면했지 이런 업체에 절대 줄수없죠  이 업체 고발할겁니다 저같이 피해당하신분 있으면 고발하세요,1
1016,발 사이즈가 290mm로 큰편이라 290mm사이즈 보고 주문했는데 실제로 신어보니 270mm도 안되는 작은 사이즈네요 신자마자 짜증나서 그냥 버렸네요 아무리 짝퉁 판다고 해도 그냥 실제 사이즈에 맞게 만들어서 파시지 사이즈를 속여서 까지 팔면 어떻합니까 아무리 인터넷이라고 해도 이런 물건은 없어져야 되지 않을까 합니다,1
1028,배송너무느림  이럴줄알았으면 절대구매안함,1
1029,딱   그돈 만큼  입니다환불 정드는  아님니다편 합니다,3
1033,배송은  빠른데 제가 이 모델 운동화 6번째구매인데 판매자는 거의다릅니다  근데 여기  깔창이 제일 못합니다,3
1054,다좋은데 밑창빼보면 바닥에 구멍이하나 있어요 거기서 기름이나와요 왜그런거죠내거만그런건지 원래그런건지 모르겠네요 양말에서 기름냄새가 심해요,3
1126,신발이 작아서 반품하고 싶은데 살 때만 배송비 1만원이 아니라 반품할때도 1만원이라네요 도서지방도 아닌데 배송비 반품비가 왕복 2만원이면 많이 부당한 듯 합니다,1
1142,그냥그럭저럭 ㅠㅠ 270 배송이 너무 오래걸려영ㅠㅠ참고하세영,3
1175,사이즈를 기존에 운동화 사이즈로 구매했는데 걸을 때에는 못 느꼈는데 조깅시 발이 불편한 것을 보니 좀 작게 나온 것 같다,3
1176,끈에 본드가 있네요끈 다시 보내주세요신발은 좋습니다끈만바꾸면 될꺼같네요,1
1177,정말최악배송다시는안산다,1
1287,"발볼있으신분 한치수 큰거 주문하세요 배송빨랐습니다

아쉬운건 에어가 생각보다좀 딱딱한 편입니다그렇다고

못신겠다는건 아니구요 ㅋ

―――――――――――――――――――――――――

신어본 후기는

발에 살이 많으신분 한치수 크게 하시는게 맞구요",2
1292,디피됏던 제품이 왓네요 ㅎ귀찮아서 그냥 신기는 하는대 바닥면 물티슈로 한번 닦아서 보내시지 그정도는 기본 매너같은대 조금 아쉽네요,2
1310,흰색 제품에 검은색 이물질 물티슈로 안지워짐 매장이였으면 안삼,1
1344,택이 일본어예요,3
1345,판매란에 2주이상 소요된다고 적혀있으면 느리게 배송되는거 인지하고 구매하는거라 괜찮지만아무런 공지도 없고 결제취소요청하면 배송처리 됐으니 반품해서 취소하라고만 하네요평균적인 배송기간을 적어주셨다면 구매자들의 불평불만이 적었을 것 같습니다자세히보면 앞이랑 뒤에 약간 이물이 묻어있긴합니다케바케일것같긴함,3
1348,2주가 넘는 배송시간연락 안되는 판매자제품 왔는데 누리끼리한 컬러뒷축엔 누군가 신었던 흔적절대 이 판매자꺼 사지 마시길 바랍니다,1
1384,품질 디자인은 우리가 아는 것 배송은 넘 느려,3
1454,정품도 아니면서 쿠팡 보다 가격도 비싸고 배송도 너무 늦고 안전 사기 당한 기분ㅠㅠ코로나 때문에 매장에 못가고 지마켓 믿고구입 했는데 진짜 사기 당한 기분지마켓에서 다시는 신발 못 살겠네그리고 신발 깔창 뒷끔치 안쪽천불량,1
1461,상품받고 34번 착용했는데요흰색이 누렇게 변했고 뒷꿈치쪽 천은 보풀이 마구마구 일어났네요신발끈도 양쪽 길이가 다르구요암만봐도 정품은 아닌거같아요ㅠㅠ,1
1511,정품맞나요뭔가 원단도 그렇고 바느질도 허접하고포장되어온 박스도 완존 걸래꼴이네요배송도 엄청느리고왠만하면 매장가서 사는거 추천드립니다,1
1514,예쁘고 편해요,2
1517,배송느림 적극비추합니다,1
1557,깔창은 구겨넣어서 인지 주름져있고 안쪽에 이물질이 묻어있고  맘에 안들지만 귀찮아서 그냥 신을려구요ㅠ,1
1558,좋습니다요,1
1581,헐 짝퉁인지 불량인지 백화점이라고 믿고 샀더니 재단이 엉망 반품 각,1
1592,주문하고 3주만에 받았어요 신발은 이쁘고 사이즈도 딱이에요 근데 배송이 너무 느려서 기다리기 지루함,3
1793,신고 걷자마자 에어에서 뽀드득소리 겁나 크게 나요 정품 아닌가요 아니면 문제있는 상품 떨이 하신건가요 삑삑이 신발도 아니고 4주를 기다렸는데 엄청난게 와버렸네요 환불이든 교환이든 해주세요  어이가 없네요 진짜ㅡㅡ,1
1933,"워낙에 인기있는 제품이라
가격은 할인을 많이해서 저렴하네요
발볼은 좁고전체적으로 약간 작아요
컨버스270신는데
275샀다가 약간커서 270으오 교환했는데
약간 타이트하네요
신으면서 늘려야 겠어요
전체적으로마감상태는 약간 아쉽네요
가격이 저렴하니감수해야죠",3
2013,좋은 가격에 잘 구매했습니다하지만 이염이 된 부분이 있어요 사이즈가 한정적이라 그냥 반품 안하고 구매했어요 발볼이 조금 좁은 것도 좀 불편 하네요 쇼핑라이브 혜택이 많아 구입했지만 엄청 편하다고는 말 못하겠네요 참고 하시길,2
2073,"좋은 마음으로 받았는데
디피용인지 착용을 했던 제품인지 바닥이 
더럽더군요교환을 하려해도 해당 제품 품절로 불가능하고 환불도 추석연휴로 오래걸린다기에 그냥 신으려고합니다배송전에 제대로 된 검수 부탁드리며
좋지못한 마음으로 후기를 남깁니다",3
2092,"세번째 구매했네요
제꺼 작은아들꺼
지금 받은건 큰아들꺼
10월 6일부터 순차적 배달한다더니
일찍 왔길래 다행이나 싶었는데
누가 반품한거 보내셨는지 박스에 원래포장된 비닐은 없고 걍 봉지에담아 테이프 붙여서 왔더라구요
어쩐지 빨리배송된다 싶더니기분은 살짝 나빴지만
상품에 이상 없는거 같아 걍 신으라고 했네요
취소한것도 아닌데 걍 늦더라도 새제품 보내주셨음 더 좋았을껄이상 없으니 잘 신을게요
앞으로는 새제품으로 부탁드립니다",3
2188,"뒷쪽에 구멍이 나잇어요 ㅠ
명절때 싣을라고 햇는데 휴",1
2203,"예전에 네이버에서 화이트175 에사기당해서 다시살까말까 고민하다 사는데
제가중고를구매한건가여 아님 원래이렇게 마감이별론가요 22만원짜리 검정97은 이러지않던데
뒷꿈치나 전체적으로 누리끼리해요 절대화이트아님택도 떨어져서왔고",1
2258,중국 광저우에서 오던데 잘모르겠네요,3
2285,상풍 최악 입니다 새 상품이 본드 접합 부위가  다 떨어져요  반품 귀찮아서 강력본드 여러곳에  발랐어요,1
2339,색상이쁘고 배송도 빠릅니다발볼이 크신분은 사이즈 한치수 업하는거 추천합니다,1
2357,가격이저렴해서 짝퉁인줄알았어요근데 as만안될뿐  큐알코드찍으니정품이라나오네요마감처리가이상해서찍어보니정품이나오긴했는데ㅎㅎ솔직히운동화as맡겨본적도없고그냥신을려구요믿어야겠죠,3
2472,해외 구매대행이라도 너무 오래 걸립니다 미국에서 오는 건 3일 만에 오던데 그리고 제품 택이 없습니다  원래 그런건지중국에서 판매하는 것이어서 그런지 괜한 의심이듭니다 신발은 무게감이 좀 있지만 화면에서 보던 그대로네요,2
2484,홍콩에서오네요‥중국은좀,3
2505,보통,3
2526,신발에 김치국물이 묻어있지 않나 뒤꿈치가 시커멓지 않나 누가 신었던걸 보내 주었어요 앞으로 모든 제품 검수를 잘해서 보내 주셨으면 합니다,1
2573,"별점 1개 입니다
할인 기간에 구매했는데 이게 왠걸 신발끝에 된장같은게 묻어있었습니다 
사실 깨끗한제품 정품제품 제대로된 제품 구매하려고 다른 사이트에서 구매하지않고
롯데에서 구매한것인데 뒤통수를 맞은 기분이였습니다
아무리 세일해서 산거지만 속이 상할수밖에 없더라구요 ㅜㅜ 
제대로 검수도 안하고 보낸것 같아서 많이 아쉽습니다 
깨끗한 새신발 신고싶었는데 기분만 상하네요
제가 운이 없었던거 겠지요
그냥 세탁맡겨서 신던지 신발끈을 다른데서 새걸로 구매해서 사던지 해야겠어요
어쩌겠어요 할인받아 샀는데 만족해야죠
운이없었다고 생각하겠습니다
앞으로 검수 잘하고 제대로된 상품 보내주셨으면 좋겠습니다",1
2582,"나이키가 나이키 했다
 나코탭이 빡  정품 퀄리티가 빡  한번 교환 신청하고 또할려다가 그냥 신었습니다

짭이 더 퀄리티 더좋아요 찐은 안좋아요",3
2584,"나이키가 나이키 했다
 나코탭이 빡  정품 퀄리티가 빡  한번 교환 신청하고 또할려다가 그냥 신었습니다

짭이 더 퀄리티 더좋아요 찐은 안좋아요",3
2641,"상품평이 좋고 매우 유명한 모델이어서 구입했는데 발이 전혀 편하지 않아요
바닥이 단단하고 무겁고 발목쪽 끈이 피부에 닿는 구조라 쓸리면 아픕니다 특히 끈을 끝까지 묶어도 발목을 전혀  잡아주지 못해서 뒷꿈치 부분이 껄떡거려요 나이키는 다른 메이커에 비해 사이즈가 타이트한 편이라 한사이즈 크게 구입했음에도 상대적으로 발볼 발가락 부분은 좁구요
운동이나 오래 걷기 용도로는 부적합하겠네요
모양이나 색감은 실물이 훨씬 이쁩니다
매장에서 신어봤더라면 구입하지 않았을 것 같아요
나이키 운동화 여러번 구입해 보았지만 이렇게 불편한 신발은 다른 메이커와 합해도 처음입니다
아쉬움이 많아 길게 상품평을 썼습니다",2
2925,보통이에요,3
2943,주문한지 한달만에 받았는데 사진에 첨부처럼 사이즈가 완전 작은걸로 왔습니다정말이지 빠른 교환진행 바랍니다,1
2944,밑창 마감처리가 엉망이네요 접착제가 삐져 나오고해외에서 오는것은 텍도 없이 오나요,2
2960,정품같이 느껴지지 않아요신발끈 길이도 둘다다르고 옆라인 박음질도 그렇고화면이랑 완전 다른것같은굳이 이걸 몇십만원 주고 샀다는게 바보같이 느껴지네요,1
2964,"백화점  방문하니 4만원이나 저렴했어요
속상했지만 상품은 예뻣어요",3
2976,"아들이 디자인보고 고른거라
그런데
매장에서 많이 신어봤던걸로 보내신듯
신발바닥 지저분하고 뒷굽속도 조금 때가 낀거같아 기분은 별로
시간이 없어 그냥 신기로 했지만
20만 다되는 신발이기에 실망스러웠음",3
2995,생각보다 마감처리가 깔끔하지않네요,3
3114,"제가 보기엔 가격보다 싼티 납니다
아이가 좋다니 고른 신발이라 주문했는데 착화감은 편하지 않다고 하네요",1
3205,"신발 밑창도 더럽고 배송기간 코로나로 42일 걸렸습니다
사이즈변경도 연락드렸었는데 변경안되서 오고
더이상 기다리기 힘들어서 교환은 됐다고 했습니다 
기다린 기간도 기간이지만 연락 답은 한참 늦습니다
기간 넉넉하게 생각해두고 구매하셔야할듯 
동시에 마음도 넓게 가지셔야함",3
3257,개별로임 불편하고 비싸기만함,1
3277,싱품이 어떠기도 전에 박스를 비닐에 싸서 보내는 택배는 첨보네요 박스 다찢어지고 찌그러졌습니다 구매하실때 참고하세요,1
3278,저렴하게 구입했어요 이쁩니다,1
3279,사이즈가 딱 맞네요 좋은가격에 구입했네요  감사해요,1
3321,근데 배송이 별로에요 신발은 엄청이뻐요,3
3342,신발 박음질을 두번해서 구멍이 보이는데하자가 많아서 여러번 반품했는데 제품도 구하기 어렵고 귀찮아서 그냥신을께요,1
3350,"잘 받았는데 딱 봐도 누가 반품한 거 같네요
신발 밑창에 때 묻어있고
신발 끈 3군대에 끈끈한 딱풀 같은 게 붙어있어요",2
3360,불량 요소가 있지만 귀찮아서 그냥 신어요,3
3363,신발 밑창이 너무 미끄러워요,3
3386,"배송은 만족스러운데 마감이 안좋아요
끈에 본드 묻은거 알콜로 제거하고 신어요 ㅜㅜ
맥스 97 이쁘기는 한데 정말 불편한 운동화네요",3
3387,새제품인데 제품에 이물질이 묻어있습니다ㅠ 닦아도 닦이지도 않네요ㅠ,1
3407,중국에서 우체국택배로 왔는데 박스 뜯어보니 택도없안붙어있고 에어간격이랑 신발끈가죽부분 보니 가품느낌다른부분은 마감괜찮내요 그래도 찝찝하내요ㅎ,3
3423,스크레치가 있어요,3
3439,짝퉁,1
3440,보통이예요,3
3451,상품 자체에 이음새가 원만하지 못해 짝튱으로 의심 됩니다 완전 신뢰 가지 않는 상품입니다         장점은 딱히 이 가격이면 그냥 귀찮아도 매장 가서 살껄 그랬네요,1
3464,이 제품 작년 가을에 구입했습니다 그 당시에 트리플화이트 국내배송 바로 되는곳이 여기밖에 없어 급하게 신어야되서 그냥 구입했었습니다 앞코가 살짝 찌그러져있었는데 크게 신경쓰는스타일도 아니고 해서 그냥 신고 다녔는데 한 세번 신으니까 5번째 사진처럼 갈라지고 2번째 사진처럼 뒷부분이 접혀서 숨이 완전 죽는겁니다 그래도 그냥 신었습니다 근데 이번에 공식인증업체에서 맥스97 게임 로얄을 샀는데 완전히 다른겁니다 그래서 뭐지하고 트리플화이트 제품을 구글도 뒤져보고 유튜브도 찾아보고 해서 정품들 상세사진 보니까 제 신발의 뒷부분 숨이 완전 죽었던 곳도 살짝 두꺼워서 정품은 납작하게 찌그러지지도 않습니다 재질도 다릅니다 그리고 정품보니까 신발깔창 뒷부분에 음각으로 넘버 찍혀있는데 제껀 역시나 없었습니다 이 제품이 정품인지 가품인지는 모르겠습니다 하지만 제 트리플화이트 신발이 좋은 상품이 아니라는 생각은 듭니다 34번 사진은 이번에 산 모델은 트리플화이트는 아니지만 맥스97 제품입니다 퀄리티차이 많이 납니다 QA를 보니까 가품일 경우에 어떻게 보장해주냐는 말에 “저희는 홍콩병행수입제품입니다” 라고만 되있네요 그냥 급하게 사려고했던 제 자신을 탓하겠습니다,1
3482,해외배송인건 알고 구매했으나판매자가 카톡문의해도 답변이 없고 읽지도 않고 전화문의도 하였으나 전화도 받지 않음11번가 문의에 답변은 달아줌해외송장번호는 안내는 안알려주고통관중이라는데 답답해서 조회해보려고 했으나뭐 아무것도 알려준게 없어서 조회못해봄국내송장 나오면 문자보내준다고 했으나 문자안옴그리고 아무런 말없이 물건이 도착함,3
3486,진품인줄 알았는데     반품하고싶은데 절차가 까다로워 창고에넣어두었습니다,1
3492,"배송은빨랐으나 상품은 최악이네요

97을 10개넘게 가지고있는데 이런거는 첨이네요",2
3553,이거 짝퉁같습니다믿고샀는데 이런게 오나요,3
3556,배송이 느리고 조회가 않돼서 좀 답답한거 외에는운동화는 깔끔하네요,3
3584,제가 정품은 본적이 없어 구분을 못하겠네요화면하고 색상은 동일하지만 신발끈 주위로 파란색은 도대체 뭘까요 원래 그런걸까요판매한테 문의 남겨보기전 사진 올립니다,2
